dataset_name,url
對外商品貿易統計 – 進口,https://data.gov.mo/Detail?id=ded00496-4909-4fa8-8a8d-81dd75432e4f
銀行業全職僱員平均薪酬,https://data.gov.mo/Detail?id=0438959e-477b-4ec5-9e96-6f7a9ac5fc23
會展活動與會者／入場觀眾,https://data.gov.mo/Detail?id=c0e46411-6edf-4ce3-9de0-04ec90d5d075
交通燈組,https://data.gov.mo/Detail?id=fcfef8dd-0262-4d08-8b7d-a53b08a6ae5d
新成立公司註冊資本,https://data.gov.mo/Detail?id=00933b5d-501f-4974-bd97-bbea4d3889bd
澳門國際機場貨運量,https://data.gov.mo/Detail?id=5c54abdd-aada-4486-9683-121174f9fad6
CEPA貨物出口,https://data.gov.mo/Detail?id=8bcddaac-6ec0-426e-95af-1f5dd8b033ed
不過夜旅客,https://data.gov.mo/Detail?id=d0bfda7a-6873-40e3-be2c-bbebfad3628c
衛生範疇按歲組劃分的死亡人數統計,https://data.gov.mo/Detail?id=d120aa0f-6e05-4784-8e5e-1ea554c86a1a
商務包機和私人飛機起降架次,https://data.gov.mo/Detail?id=fd8c9c78-caba-4f4c-bd0b-cf1df2c38de4
公共道路免費車位,https://data.gov.mo/Detail?id=4f1c19c0-2f66-4b1f-8bc4-ed85dbdab3db
在澳門以外地區升學的澳門學生人數統計─按地區劃分,https://data.gov.mo/Detail?id=522e59ff-2c29-4910-819b-7cb0377f28da
澳門垃圾焚化中心尾氣數據,https://data.gov.mo/Detail?id=0d6dd204-5bc0-49f3-9b7a-7d9e6eb58020
暴雨警告,https://data.gov.mo/Detail?id=6720bf5c-1d87-45ef-8da5-1bccd28f745d
酒店參考房價,https://data.gov.mo/Detail?id=6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9
接送員名單,https://data.gov.mo/Detail?id=7ad279ae-c84a-4885-9461-d571fddb2791
博彩業全職僱員,https://data.gov.mo/Detail?id=e326e401-0c7b-47b0-a523-52b93d4e08e9
污水處理廠數據(澳門半島),https://data.gov.mo/Detail?id=9c555082-70e8-452f-a86b-073cd0da4a55
